product_brand, product_name, product_shipping
ROG Zephyrus G15 (2020) Ultra Slim Gaming Laptop| 15.6" 144 Hz FHD| GeForce GTX 1660 Ti| AMD Ryzen 7 4800HS| 16 GB DDR4| 1 TB PCIe NVMe SSD| Gig+ Wi-Fi 6| Windows 10| GA502IU-ES76,ASUS,Free Shipping
MSI Bravo 15 A4DDR-022 Gaming Laptop AMD Ryzen 5 4600H 3.00 GHz 15.6" Windows 10 Home 64-bit,MSI,Free Shipping
MSI Bravo 15 A4DDR-023 Gaming Laptop AMD Ryzen 7 4800H 2.90 GHz 15.6" Windows 10 Home 64-bit,MSI,Free Shipping
Acer - Gaming Laptop - 15.6" FHD IPS| Intel Core i7-9750H (2.60 GHz)| NVIDIA GeForce GTX 1650| 8 GB RAM| 256 GB SSD| Windows 10 Home 64-bit| Nitro 7 (AN715-51-73BU),Acer America,Free Shipping
Asus TUF Gaming Laptop| 15.6" Full HD IPS-Type| Intel Core i7-9750H| GeForce GTX 1650| 8 GB DDR4| 512 GB PCIe SSD| Gigabit Wi-Fi 5| Windows 10 Home| TUF505GT-AH73 Notebook PC Computer,ASUS,Free Shipping
MSI ALPHA 15 A3DD-003 Gaming Laptop AMD Ryzen 7 3750H 2.30 GHz 15.6" Windows 10 Home 64-bit,MSI,Free Shipping
ASUS - Gaming Laptop - 17.3" 120 Hz IPS-type - AMD Ryzen 7 3750H (up to 4.0 GHz) - NVIDIA GeForce GTX 1660 Ti - 16 GB DDR4 RAM - 512 GB SSD - Gigabit Wi-Fi 5 - Windows 10 Home - TUF (TUF705DU-KH74),ASUS,Free Shipping
ASUS TUF Gaming Laptop - 15.6" 144 Hz FHD IPS-Type - AMD Ryzen 7 R7-3750H - GeForce RTX 2060 - 16 GB DDR4 - 512 GB PCIe SSD - Gigabit Wi-Fi 5 - Windows 10 Home - FX505DV-NH74,ASUS,Free Shipping
MSI GE65 Raider-432 15.6" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) GTX 1660 Ti 16 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop,MSI,Free Shipping
MSI GE65 Raider-431 Gaming Laptop Intel Core i7-9750H 2.60 GHz 15.6" Windows 10 Home 64-bit,MSI,Free Shipping
GIGABYTE AERO 15 Classic-SA-U74ADP Gaming Laptop - 15.6" 4K/UHD IPS - Intel Core i7-9750H 2.60 GHz - NVIDIA GeForce GTX 1660 Ti - 16 GB Memory 512 GB SSD - Windows 10 Pro 64-bit,GIGABYTE,Free Shipping
Eluktronics MECH-17 G1Rx Slim & Light NVIDIA GeForce RTX 2080 Gaming Laptop with Mechanical RGB Keyboard - Intel i7-9750H CPU 8GB GDDR6 VR Ready GPU 17.3" 144Hz Full HD IPS 512GB NVMe SSD + 16GB RAM,Eluktronics,Free Shipping
HP Mt44 14" LCD Thin Client Laptop AMD Ryzen 3 2300U 8GB 128GB SSD Win10 IoT Ent,HP,Free Shipping
HIDevolution Alienware Area-51M 17.3" FHD 144Hz Gaming Laptop | Black | 3.6 GHz i9-9900K| RTX 2080| 128GB 2666MHz RAM| PCIe 1TB SSD + 1TB SSHD | Authorized Performance Upgrades & Warranty,DELL,Special Shipping
MSI GS75 Stealth-1025 Gaming and Entertainment Laptop (Intel i7-8750H 6-Core| 16GB RAM| 512GB SSD| 17.3" Full HD (1920x1080)| NVIDIA RTX 2070 (Max-Q)| Wifi| Win 10 Home) with Gaming Mouse | Loot Box,MSI,Free Shipping
ROG Zephyrus M Thin and Portable Gaming Laptop| 15.6" 240Hz FHD IPS| NVIDIA GeForce GTX 1660 Ti| Intel Core i7-9750H| 16GB DDR4 RAM| 512GB PCIe SSD| Per-Key RGB| Windows 10 Pro| GU502GU-XH74-BL| Blue,ASUS,$9.99 Shipping
ASUS GA502DU-PB73 Gaming Laptop AMD Ryzen 7 3750H 2.30 GHz 15.6" Windows 10 Home 64-bit,ASUS,Free Shipping
MSI GS75 Stealth-1074 Gaming Laptop Intel Core i7-9750H 2.60 GHz 17.3" Windows 10 Home 64-bit,MSI,Free Shipping
GIGABYTE AERO 15 Classic-YA-F74ADP Core i7-9750H NVIDIA GeForce RTX 2080 Max-Q 16 GB Memory 512 SSD Intel SSD Win 10 Pro High-End 15.6" FHD 144 Hz Gaming Laptop,GIGABYTE,Free Shipping
GIGABYTE AERO 17 WA-7US1130SO - 17.3" 144 Hz IPS - Intel Core i7 9th Gen 9750H (2.60 GHz) - NVIDIA GeForce RTX 2060 - 16 GB Memory 512 GB SSD - Windows 10 Home 64-bit - Gaming Laptop,GIGABYTE,Free Shipping
MSI GF63 THIN 9SC-653 Gaming Laptop Intel Core i5-9300H 2.40 GHz 15.6" Windows 10 Home 64-bit,MSI,Free Shipping
MSI GP65 Leopard 9SD-226 Gaming Laptop Intel Core i7-9750H 2.60 GHz 15.6" Windows 10 Home 64-bit,MSI,Free Shipping
